X_variable,SPLS_selected,R_vA_insula,L_vA_insula,R_dA_insula,L_dA_insula,R_HO_amgy,L_HO_amyg,pACC,dACC
module_BAL_EOS_02,Y,0.4697643704482673,0.41679570543324934,0.4930912675204644,0.07869076705224212,0.5509976861702457,0.26611865958190306,0.2801408505829218,0.3837667268069852
CCL21,Y,0.18053458311492984,0.3549042380140233,0.3390904146703361,0.26082155113325695,0.5885167990352866,0.5849698715036274,0.2257033596659161,0.1581686717160648
CCL26,Y,0.5372579394540572,0.29877356031784613,0.4540440499820913,0.12978071840522562,0.4244125931634234,0.16520491296290174,0.5427169841889412,0.39899961070298595
CCL27,Y,0.24644953710876774,0.5081152763735229,0.36463251076323655,0.22225571460987512,0.46731193912422403,0.40064219322285133,0.2590459668003194,0.16804865828526622
CCL7,Y,0.28845874859852816,0.17628492365396353,0.3103678386703912,0.11365696747845465,0.5391470354245073,0.3953583119638775,0.2829359409164802,0.27665285848455023
CXCL1,Y,-0.6222976346306764,0.3217605516999747,-0.6482853032887482,0.019702837246849673,-0.19115609437181685,0.005167999967766548,0.09318373368262658,0.013941655322279572
FLT3L,Y,-0.02136711214866053,0.6220301088181838,0.020644312319494366,0.38295726945308267,0.42821529548805,0.6364237226333004,0.37631196468489736,0.17639784218138177
GCSF,Y,0.24720883605113492,0.41883654707449486,0.4181907614310053,0.5315399332931875,0.4398026957218742,0.5158723971741266,0.17945507578723227,0.25152472182515223
GMCSF,Y,0.20731665820333656,0.1853195203089423,0.373370912043768,0.18153419371138435,0.46157022005042087,0.47038924507354196,0.2316653395843546,0.32003838238192256
IFNA2,Y,-0.21957933536552274,0.5378357745572434,0.16203397562030183,0.37999186938827395,0.6811013240677969,0.5675558255654573,0.13458264728607372,0.36405754895177656
IL10,Y,0.09687385577362495,0.5302182853467575,0.23879061651074224,0.1749915652165894,0.5237458295346736,0.45385068814196555,0.2968484741859212,0.24465665757522753
IL16,Y,0.42438941787871814,-0.5300152195575611,0.31781547652138314,-0.5029364789798324,-0.038397711751029164,-0.2086800493575229,-0.04601057709420766,0.035246351671638594
IL17A,Y,0.23064496306685936,0.43049751409052633,0.37606644222643987,0.2281448731465298,0.6610063684363546,0.5145342342353821,0.3915937196293511,0.24782494805621955
IL23,Y,0.16294642852518593,0.3979540377039661,0.4023196819280363,0.30114201327714923,0.4345279803673635,0.5622270108863059,0.09717422009876647,0.17491183306499652
PDGFAA,Y,-0.10891347908259873,0.7326534904746781,0.00426745097075892,0.5192150831674671,0.41835734936809116,0.6169719486967278,0.2894988734643291,0.15251801267001305
TGFA,Y,0.22842823750030966,0.553774483923268,0.31833045258973214,0.11688878068672288,0.3948650648628309,0.34993713683804717,0.41788305171636353,0.4609674844860732
module_BAL_EOS_01,NA,0.2297978692812071,0.18861426390536248,0.1958249701785453,-0.14455093257671717,0.22311722254708932,0.003155933140562531,0.09726696947414994,0.17206379066950128
module_BAL_EOS_03,NA,0.3249240898070023,0.2499975584488795,0.2986065931597726,-0.06534121833405769,0.2782817202904585,0.04943350808450164,0.14161846329810374,0.25369702423556556
module_BAL_EOS_04,NA,-0.08441477029646804,-0.051366197506429914,-0.29914656618732366,-0.2988286225627905,-0.1592823763903653,-0.29446820304759685,-0.16517532700735912,-0.07978261036786488
module_BAL_EOS_05,NA,0.08186749740987345,0.21215261621691514,0.007586427970412718,-0.10060714430438278,0.12542566113461467,-0.09089273623808088,0.12829512687803976,0.08581339601166496
module_BAL_EOS_06,NA,0.013270338151245417,0.10709073914576246,0.05646191310217772,-0.09576785216997105,0.05752360132209016,-0.04186552450326007,0.013323773015915547,-0.17801268257610106
module_BAL_EOS_07,NA,0.005582720010529101,-0.042341143084593386,-0.21718305589489292,-0.25623193900853053,-0.04181265605376888,-0.2539740553399764,-0.16018189233710095,0.026265532926791343
module_BAL_EOS_08,NA,-0.02477586742748491,-0.24608600758298999,-0.13020768365946794,-0.31565437209237635,-0.4797561975410487,-0.40035489680838676,-0.22895995528976928,-0.27662383236306
module_BAL_PMN_01,NA,0.18340607512062906,-0.014851971987743353,0.24027222220602615,-0.15909689210133818,0.1958444318920532,0.05999735190210028,-0.10467579645355057,0.003285202026630357
CCL1,NA,0.2414315635587355,0.289678076938425,0.22103485342600845,0.08007380873558562,0.3113805010248073,0.18927370902084173,0.23075698655398597,0.13503078253623851
CCL11,NA,-0.14844515343609074,0.3719815970704078,-0.30939327985835985,0.027509557041006334,0.10497535284495524,0.020773393501855298,0.45256878391339955,0.36961728493776974
CCL13,NA,0.20088146211135421,0.23659994671391715,0.09716947582434342,0.002295539694333773,0.20147161252739182,0.15300088862906558,0.22806217602655005,0.35452769118588817
CCL15,NA,0.22661060598099872,0.2949406552746246,0.010954245015122625,-0.13157260007513194,0.29580540314211384,-0.1149124320825867,0.7467799471025066,0.3742815099552017
CCL2,NA,-0.36073229658996253,0.6856012524849796,-0.315755183243151,0.34012397016846074,0.30230719787729415,0.3928425233863716,0.43086756574356033,0.10800812154591267
CCL22,NA,0.3055406053324737,0.3535500101512174,0.2130920686865875,0.1856031625703662,0.20597747840005334,0.21094109661195523,0.3570605603064596,0.36473511772001904
CCL3,NA,0.2025079279824074,0.3936948674259947,0.3911597364058981,0.007777685575496708,0.4205439940057609,0.2996039741288002,0.30939873287923,0.29374799516818406
CCL4,NA,0.2849426737496327,-0.09981762654390074,0.2586203586220201,-0.308755020215677,0.13018835017956545,-0.06923319975585986,0.12179185672368278,0.07503402184294855
CCL8,NA,0.11690251820224315,0.06142315634140055,0.04060518886651266,-0.15892243918652502,0.385721844480665,0.12279549584935491,0.2784031925150849,0.08404788176139276
CX3CL1,NA,-0.19732835131178655,0.6012321412229726,0.07995385579642861,0.06917490936565376,0.4032308098218474,0.24707108896805943,0.2669095257937076,0.13822409594838694
CXCL13,NA,0.1596010765069436,0.3392513156812672,0.1654834348859268,0.13906451197137337,0.33200234558098,0.19958983991232052,0.27668157813104327,-0.019009101525598072
CXCL5,NA,0.33503935160719395,0.05876158120324684,0.3972362157156413,-0.030949608569719234,-0.018118041694603362,0.11730431766863084,0.10507476567628644,-0.19546770433092153
EGF,NA,0.03299536588109408,0.5538832025845243,-0.13118629020514327,-0.023514553154108244,0.1744950272977518,-0.011710929236019574,0.7816126282879159,0.32334726180639584
FGF2,NA,-0.08864108705073086,0.523779464567401,-0.06465040845864985,-0.05339657575675335,0.19743725906750684,0.08096007817857567,0.5203141392396051,0.06510181798164236
IFNG,NA,-0.13172751829467574,0.27073655041262,0.08269536922377121,-0.0021559073074789233,0.3990120191122738,0.24823764894758826,-0.014239740068765482,-0.02813639552409673
IL12B,NA,-0.008969959579490231,0.32596372849305183,0.24131022431500634,0.31919808756214235,0.427251434156009,0.4533434538242277,0.022149030346786135,-0.11094592072121616
IL12p70,NA,-0.3296085112179411,0.410983512010823,-0.04129789921941621,-0.05836495424603643,0.369842116310041,0.2467351643703984,0.033432671006903995,0.08221613067661092
IL13,NA,0.25414240872391236,0.3791413694736482,0.28860303813664157,0.0920493492216508,0.3282076682580185,0.2306630350214372,0.3107203188356436,0.46312453508858115
IL15,NA,-0.26674077581684374,0.36229107165990004,-0.16979492002466628,0.2515923578147139,-0.041750015272846594,0.27947171074337035,0.17362949735764216,-0.025905752888882687
IL1A,NA,-0.011516876703891805,0.05390823453367094,0.1313090516607903,-0.4144101063732763,0.15261807319110007,-0.05369054224508069,0.14830524130532693,-0.06786763305459997
IL1B,NA,0.03152215875879685,-0.13416100756678787,0.07237422284415425,-0.17050178573081956,0.22820578973259756,0.09168524845356692,-0.004671242237305142,0.07522074009593079
IL1RA,NA,0.27013267318793477,0.1370025702220952,0.3062802489458302,-0.18598604269131183,0.2193543051867384,0.0705975932687119,0.2580319258444094,0.3480489678185789
IL2,NA,-0.01730039231944054,0.26736639683676466,0.13575348295855846,0.04861398547778282,0.34366003408055157,0.2391796596780777,0.054222641170859454,-0.0024437686277802672
IL20,NA,0.2150876057344123,0.09854318844404811,0.07717474788706234,-0.14317135980853032,0.008982864008880627,-0.1337531818340377,0.20023016466597904,0.3348768207771329
IL4,NA,-0.35056237193866546,0.5358705950429931,-0.19005800435841294,0.06380687735988429,0.38547242306713136,0.2698138365805807,0.301917758510924,0.2690506818229793
IL5,NA,0.10037994027416644,0.26914033232445755,0.0979708711281344,-0.0068476075228412515,0.2270026132900461,0.08033410995953905,0.264181407477809,0.31498192088059057
IL6,NA,0.2966168405036031,0.02383905723847542,0.3844869364086283,0.07735679861231852,0.4390422260735015,0.31526371499860434,0.028301655857477452,0.052000238711541746
IL7,NA,-0.14128412898007,0.36548546537582755,0.10714499298148662,-0.008057591726187526,0.3715278587577541,0.26605668550194994,0.1293976243506903,0.06420200217778821
IL8,NA,0.07374488708910613,0.21442475207548206,0.14713925779235737,-0.0853261634869046,0.31788268238727063,-0.11982430266367224,0.4694155514033239,0.3579355217838611
IL9,NA,0.19730810163507284,0.37591958109715135,0.20504390325393834,0.06851983504688158,0.3347761298904143,0.20515497348366687,0.3918320851048397,0.41637096775019555
IP10,NA,-0.39112903960023065,0.32341064858717766,-0.14135366323650436,0.20481554256845955,0.1128152944065545,0.2529128344013406,-0.11204722308695848,-0.35901822836483865
KITLG,NA,-0.18817698833946284,-0.05592681616031303,-0.17476383168819237,0.21457630762654248,-0.11354662665259307,-0.12566991068802896,-0.21786927319834767,-0.5684120978593523
PDGFAB,NA,0.17819145736426945,0.40969468783195995,0.2611777198334163,0.18747321842525327,0.37260957757551544,0.31277700975465084,0.20662297111682545,0.13948467678208595
RANTES,NA,0.09992053178518245,-0.31526534216050717,-0.07950422579942978,-0.5285329664701091,-0.4050284341826396,-0.5318975832515394,-2.492818853381148e-4,-0.39555100780960045
sCD40L,NA,-0.19406416733232973,0.38268055314276705,-0.036328232960781685,0.03790717819300891,0.39564718579449504,0.25852409041896995,0.1265104481005356,0.01670301885882552
TARC,NA,0.28951628536093893,0.27296120983517747,0.1739069015108584,0.06965360015584257,0.2423859238237228,0.06242115489241607,0.4130218886988548,0.38470711646474093
TNFA,NA,0.1935983504958927,0.19497453967204703,0.21524795128689683,0.16449670439027345,0.2532569369453396,0.30179150679378747,0.052903177256799216,0.005208650230102152
TNFB,NA,-0.3469866479667386,0.22880082883235708,-0.1254379378180663,-0.21936623577100553,0.15030317658936537,0.05010611766686838,-0.11528935092927851,0.10611902443855355
TNFSF10,NA,0.4766650773697324,0.2246838754359955,0.1975168038271563,-0.2312021372602342,-0.08412323165510499,-0.3738779489375823,0.6002378298337402,-0.007995413205019916
VEGF,NA,-0.12330209293018861,-0.24000552339608405,-0.13444806428636566,-0.1678913984822399,-0.21119715113536633,-0.14598656551895933,-0.02173960503330016,-0.1967977690475253
